UTM;Y;X;Departamento;Distrito;Localidad;Proyecto;Programa;Cantidad de Viviendas;Empresa;Estado de Obra;Porcentaje de avance;LPN Nº;Fecha de Inicio;Fecha de recepcion definitiva;Nivel;;;;;;;;;;;
21J;;;CAAGUAZU;Raul Arsenio Oviedo;Che Mendá;Che Mendá;CEPRA;0;Consorcio Tenonde Meta;En Ejecución;;006/11;;;;;;;;;;;;;;
21 J;;;CAAGUAZU;Repatriacion;Juliana Fleitas;Juliana Fleitas;CEPRA;0;RNV Hierros S.A.;Paralizado;;006/11;;;;;;;;;;;;;;
21 J;;;CAAGUAZU;Repatriacion;Juliana Fleitas;Juliana Fleitas;CEPRA;0;Consorcio Canindeyú;Paralizado;;006/11;;;;;;;;;;;;;;
21 J;;;CAAGUAZU;Repatriacion;Juliana Fleitas;Juliana Fleitas;CEPRA;0;Construcciones Integral;Paralizado;;006/11;;;;;;;;;;;;;;
21 J;;;CAAGUAZU;Repatriacion;Juliana Fleitas;Juliana Fleitas;CEPRA;0;Consorcio Tenonde Meta;Paralizado;;006/11;;;;;;;;;;;;;;
21 J;;;CAAGUAZU;Carayao;Mariano Diaz;Mariano Diaz;CEPRA;0;Consorcio Canindeyú;Paralizado;;006/11;;;;;;;;;;;;;;
21 J;;;CAAGUAZU;Carayao;Mariano Diaz;Mariano Diaz;CEPRA;0;Construcciones Integral;Paralizado;;006/11;;;;;;;;;;;;;;
21 J;;;CAAGUAZU;Caaguazu;Ñande Maitei;Ñande Maitei;CEPRA;0;Consorcio Canindeyú;En Ejecución;;006/11;;;;;;;;;;;;;;
21 J;;;CAAGUAZU;Caaguazu;Ñande maitei;Ñande Maitei;CEPRA;0;Construcciones Integral;En Ejecución;;006/11;;;;;;;;;;;;;;
21 J;;;CAAGUAZU;Caaguazu;Ñande maitei;Ñande Maitei;CEPRA;0;Consorcio Tenende Meta;En Ejecución;;006/11;;;;;;;;;;;;;;
21 J;;;CAAGUAZU;Caaguazu;Ñande Maitei;Ñande Maitei;CEPRA;0;Ferretería Campo Grande;En Ejecución;;006/11;;;;;;;;;;;;;;
21 J;;;CAAGUAZU;Caaguazu;Ñande maitei;Ñande Maitei;CEPRA;0;RNV Hierros S.A.;En Ejecución;;006/11;;;;;;;;;;;;;;
;;;CAAGUAZU;Repatriacion;Koe Pyahu;Koe Pyahu;CEPRA;70;Deposito Mat. San Cristobal;Culminado;;001/10;;;;;;;;;;;;;;
;;;CAAGUAZU;Repatriacion;KOe Pyahu;Koe Pyahu;CEPRA;0;Sauce Construcciones;Culminado;;001/10;;;;;;;;;;;;;;
;;;CAAGUAZU;Cnel. Oviedo;Cnel Oviedo;Com. Sagrado Corazón de Jesús 2°F;FONAVIS;15;ABOG. VERONICA NATALIA OJEDA CASTELLI;En Ejecución;;;;;4;;;;;;;;;;;
21 J;;;CAAGUAZU;Cnel. Oviedo;Villa Azucena;Villa Azucena;FONAVIS;0;LIC. MARIA MERCEDES ENRIQUEZ ARANDA;En Ejecución;;;;;;;;;;;;;;;;
;;;CAAGUAZU;Caaguazu;Caaguazú;Caaguazú;Vya Renda;10;Arq. Juan Bautista Godoy Amor;Culminado;;;;22/03/14;;;;;;;;;;;;
;;;CAAGUAZU;Cnel. Oviedo;Asent. Nueva Esperanza;Fomento Urbano Nueva Esperanza;FONAVIS;40;ARQ. REBECA ZELAYA GONZALEZ;En Ejecución;;;09/09/14;;4;;;;;;;;;;;
21 J;7130091;621417;CAAZAPA;Abai;Cesina;Tekoyoya Pyahu - Cesina;Pueblos Originarios;14;ELEMEC;En Ejecución;;011/11;09/02/12;;;;;;;;;;;;;
21J;7100123;563316;CAAZAPA;Caazapa;;Caazapá;Vya Renda;50;CONSORCIO CAAZAPA;Paralizado;;018/11;;;;;;;;;;;;;;
21 J;7128219;613325;CAAZAPA;Abai;;Cerrito-Abai;Pueblos Originarios;20;GER.COM;En Ejecución;;015/12;07/05/13;;;;;;;;;;;;;
21 J;7100057;563253;CAAZAPA;Caazapa;;Caazapa;Vya Renda;50;CONSORCIO GENERAL MORINIGO;En Ejecución;;011/12;;;;;;;;;;;;;;
21 J;7130091;621417;CAAZAPA;Abai;Cesina;Tekojoja puahu - Cesina;Pueblos Originarios;18;Consorcio Pro Hogar;Paralizado;;003/11;18/07/11;;;;;;;;;;;;;
21 J;;;CAAZAPA;Caazapa;;Pbro. Adolfo Zaracho Cabral;FONAVIS;40;CESARINA BARRETO DE ENCISO;Culminado;;;;;4;;;;;;;;;;;
21 J;;;CAAZAPA;Caazapa;Caazapá;San Rafael;FONAVIS;9;CESARINA BARRETO DE ENCISO;En Ejecución;;;;;4;;;;;;;;;;;
21 J;;;CAAZAPA;San Juan Nepomuceno;;8 de Diciembre;FONAVIS;45;LIC. MARIA MERCEDES ENRIQUEZ ARANDA;En Ejecución;;;;;4;;;;;;;;;;;
21 J;;;CAAZAPA;Caazapa;Caazapá;G.O.Com.Vec.Pro Casa Santa Librada;FONAVIS;28;RIGOBERTO  GONZALEZ GIMENEZ;En Ejecución;;;;;4;;;;;;;;;;;
21 J;;;CAAZAPA;Abai;Oro Cuí;Oro Cuí;CEPRA;70;RNV Hierros S.A.;En Ejecución;;008/11;;;;;;;;;;;;;;
21 J;;;CAAZAPA;San Juan Nepomuceno;11 de Mayo;11 de Mayo;CEPRA;100;Construcción Integral;Paralizado;;008/11;;;;;;;;;;;;;;
21 J;7110538;665421;CAAZAPA;San Juan Nepomuceno;;Asent. Tava Yoayu Renda;CHE TAPYI;107;ING. ALEJANDRO RAUL PEREZ HERAS;En Ejecución;;001/14;;;;;;;;;;;;;;
;;;CAAZAPA;San Juan Nepomuceno;11 de Mayo;11 de mayo;CEPRA;0;Ceport S.R.L.;Paralizado;;008/11;;;;;;;;;;;;;;
;;;CAAZAPA;San Juan Nepomuceno;11 de Mayo;11 de mayo;CEPRA;0;Consorcio Canindeyú;Paralizado;;008/11;;;;;;;;;;;;;;
;;;CAAZAPA;San Juan Nepomuceno;Britez Cué;Britez Cué II;CEPRA;0;MH Emprendimientos;Paralizado;;007/12;;;;;;;;;;;;;;
;;;CAAZAPA;San Juan Nepomuceno;San Luis;San Luis;CEPRA;0;Ferretería Chaco Sur;Paralizado;;007/12;;;;;;;;;;;;;;
;;;CAAZAPA;San Juan Nepomuceno;11 de Mayo;11 de Mayo;CEPRA;0;RNV Hierros S.A.;Paralizado;;008/11;;;;;;;;;;;;;;
21 J;;;CAAZAPA;Abai;Oro Cui;Oro Cui;CEPRA;0;Consorcio Canindeyú;En Ejecución;;008/11;;;;;;;;;;;;;;
21 J;;;CAAZAPA;Abai;Oro Cui;Oro Cui;CEPRA;0;Construcciones Integral;En Ejecución;;008/11;;;;;;;;;;;;;;
21j;7284256;624665;CANINDEYU;Curuguaty;;Tekojoja;Pueblos Originarios;70;GRUPO V.P. S.A.;Paralizado;;003/11;17/06/11;;;;;;;;;;;;;
21 J;7315414;680820;CANINDEYU;Curuguaty;;Koe Puahu Poty;Pueblos Originarios;7;ELEMEC S.R.L.;Paralizado;;011/11;09/02/12;;;;;;;;;;;;;
21 J;7283828;610028;CANINDEYU;Yacy Kañy;Yby Miri;Ybyý Miri - Yasy cañy;Pueblos Originarios;20;J.N. COMERCIAL E INDUSTRIA;Paralizado;;005/12;17/09/12;;;;;;;;;;;;;
21 J;7333751;641131;CANINDEYU;Villa Ygatimi;Villa Ygatimi;Ita Poty - Villa Ygatimi;Pueblos Originarios;32;J.N. COMERCIAL E INDUSTRIA;Paralizado;;005/12;17/09/12;;;;;;;;;;;;;
21 J;7313423;640117;CANINDEYU;Curuguaty;;Mytuy Curuguaty;Pueblos Originarios;20;J.N. COMERCIAL E INDUSTRIA;Paralizado;;005/12;17/09/12;;;;;;;;;;;;;
21 J;7284665;624840;CANINDEYU;Yacy Kañy;; Vy'a renda- Yasy Kañy Lote 7;Pueblos Originarios;22;J.N. COMERCIAL E INDUSTRIA;Paralizado;;005/12;17/09/12;;;;;;;;;;;;;
21 J;7298076;631075;CANINDEYU;Curuguaty;;La Fortuna B° Cordillera - Lote 5;Pueblos Originarios;20;GER.COM;En Ejecución;;015/12;07/05/13;;;;;;;;;;;;;
21 J;7299937;628409;CANINDEYU;Curuguaty;;La Fortuna 12 de Junio - Lote 6;Pueblos Originarios;15;GER.COM;En Ejecución;;015/12;07/05/13;;;;;;;;;;;;;
21 J;7302200;641075;CANINDEYU;Curuguaty;Yhovy;Yhovy;Pueblos Originarios;6;GER.COM;En Ejecución;;015/12;07/05/13;;;;;;;;;;;;;
21 J;7308152;641719;CANINDEYU;Curuguaty;;Primero de Marzo;Pueblos Originarios;12;GER.COM;En Ejecución;;015/12;;;;;;;;;;;;;;
21 J;7316598;634939;CANINDEYU;Curuguaty;Paso Real;Paso Real;Pueblos Originarios;18;Consorcio Pro Hogar;Paralizado;;003/11;18/07/11;;;;;;;;;;;;;
21 J;7316775;675771;CANINDEYU;Corpus Christi;;Koe Puahu;Pueblos Originarios;17;ELEMEC S.R.L.;Paralizado;;011/11;09/02/12;;;;;;;;;;;;;
21J;7322774;635933;CANINDEYU;Ypejhu;;Ka´aguy Poty  -Ypehu;Pueblos Originarios;70;GRUPO V.P. S.A.;Paralizado;;003/11;08/07/11;;;;;;;;;;;;;
21J;7300000;601689;CANINDEYU;Yacy Kañy;Caninde;Caninde;Pueblos Originarios;70;GRUPO V.P. S.A.;Paralizado;;003/11;08/07/11;;;;;;;;;;;;;
21j;7284256;624665;CANINDEYU;Yacy Kañy;Yovuy;Yovuy;Pueblos Originarios;70;GRUPO V.P. S.A.;Paralizado;;003/11;08/07/11;;;;;;;;;;;;;
21 J;;;CANINDEYU;Curuguaty;;Docentes y Enfermeros;FONAVIS;18;ASOCIACION TEKOVERA;Culminado;;;;;2,3,4;;;;;;;;;;;
21 J;;;CANINDEYU;Curuguaty;;Docentes y Enfermeros 2° Fase;FONAVIS;5;ASOCIACION TEKOVERA;En Ejecución;;;;;3,4;;;;;;;;;;;
21 J;;;CANINDEYU;Corpus Christi;Britez Cué;Britez Cué II;CEPRA;83;Central Construcciones;Paralizado;;007/12;;;;;;;;;;;;;;
21 J;;;CANINDEYU;Corpus Christi;Agua Blanca;Agua Blanca 2° Fase;CEPRA;39;Consorcio Caazapá;En Ejecución;;012/11;;;;;;;;;;;;;;
21 J;;;CANINDEYU;Villa Ygatimi;Villa Ygatimi;San Luis;CEPRA;11;Central Construcciones;En Ejecución;;007/12;;;;;;;;;;;;;;
21 J;7327116;736318;CANINDEYU;Sin Nombre;;Asentamiento Juan Pablo II;CHE TAPYI;135;M Y M INGENIERIA Y ARQUITECTURA S.R.L.;En Ejecución;;001/14;;;;;;;;;;;;;;
21 J;;;CANINDEYU;Corpus Christi;Britez Cué;Britez Cué II;CEPRA;0;Ferretería Chaco Sur;Paralizado;;007/12;;;;;;;;;;;;;;
;;;CANINDEYU;Corpus Christi;Britez Cué;Britez Cué II;CEPRA;0;Deposito Mat. San Cristobal;Paralizado;;007/12;;;;;;;;;;;;;;
;;;CANINDEYU;Villa Ygatimi;San Luis;San Luis;CEPRA;0;MH Emprendimientos;En Ejecución;;007/12;;;;;;;;;;;;;;
21 J;;;CANINDEYU;Corpus Christi;Agua Blanca;Agua Blanca 2 Fase;CEPRA;0;AGF Constructora;En Ejecución;;012/11;;;;;;;;;;;;;;
;;;CANINDEYU;Corpus Christi;Agua Blanca;Agua Blanca;CEPRA;47;Sauce Construcciones;Culminado;;002/10;;;;;;;;;;;;;;
;;;CANINDEYU;Corpus Christi;Agua Blanca;Agua Blanca;CEPRA;0;Deposito Mat.  San Cristobal;Culminado;;002/10;;;;;;;;;;;;;;
;;;CANINDEYU;Nueva Esperanza;Cerro Azul;Cerro Azul;CEPRA;55;Sauce Construcciones;Culminado;;006/09;;;;;;;;;;;;;;
;;;CANINDEYU;Nueva Esperanza;Cerro Azul;Cerro Azul;CEPRA;0;Servisan;Culminado;;006/09;;;;;;;;;;;;;;
;;;CANINDEYU;Nueva Esperanza;Cerro Azul;Cerro Azul;CEPRA;0;Deposito Mat. San Cristobal;Culminado;;006/09;;;;;;;;;;;;;;
;;;CANINDEYU;Curuguaty;Santa Catalina;Santa Catalina;CEPRA;62;Sauce Construcciones;Culminado;;006/09;;;;;;;;;;;;;;
;;;CANINDEYU;Curuguaty;Santa catalina;Santa Catalina;CEPRA;0;Servisan;Culminado;;006/09;;;;;;;;;;;;;;
;;;CANINDEYU;Curuguaty;Santa catalina;Santa Catalina;CEPRA;0;Deposito mat. San Cristobal;Culminado;;006/09;;;;;;;;;;;;;;
;;;CANINDEYU;Villa Ygatimi;Ygatimi;1 de Mayo;CEPRA;0;Sauce Construcciones;Culminado;;006/09;;;;;;;;;;;;;;
;;;CANINDEYU;Villa Ygatimi;1 de mayo;1 de Mayo;CEPRA;0;Servisan;Culminado;;006/09;;;;;;;;;;;;;;
;;;CANINDEYU;Villa Ygatimi;1 de Mayo;1 de Mayo;CEPRA;0;Deposito de Mat. San Cristobal;Culminado;;006/09;;;;;;;;;;;;;;
;;;CANINDEYU;Corpus Christi;16 de Agosto;16 de Agosto;CEPRA;0;Sauce Construcciones;Culminado;;006/09;;;;;;;;;;;;;;
;;;CANINDEYU;Corpus Christi;16 de Agosto;16 de Agosto;CEPRA;0;Servisan;Culminado;;006/09;;;;;;;;;;;;;;
;;;CANINDEYU;Corpus Christi;16 de Agosto;16 de Agosto;CEPRA;0;Deposito de Mat. San Cristobal;Culminado;;006/09;;;;;;;;;;;;;;
;;;CANINDEYU;Corpus Christi;Britez Cué;Britez Cué;CEPRA;56;Sauce Construcciones;Culminado;;006/09;;;;;;;;;;;;;;
;;;CANINDEYU;Corpus Christi;Britez Cué;Britez Cué;CEPRA;0;Servisan;Culminado;;006/09;;;;;;;;;;;;;;
;;;CANINDEYU;Corpus Christi;Britez Cué;Britez Cué;CEPRA;0;Deposito de Mat. San Cristobal;Culminado;;006/09;;;;;;;;;;;;;;
21J;7189843;442990;CENTRAL;San Antonio;San Antonio;Duplex La Merced;Viviendas Económicas;7;ING. GUSTAVO FRUTOS;Paralizado;;006/10;01/08/11;;;;;;;;;;;;;
21j;7183482;461984;CENTRAL;Ita;Itá;Ita - B° Caaguazú;Viviendas Económicas;22;C3 INGENIERIA S.A.;Paralizado;;004/10;17/05/11;;;;;;;;;;;;;
21J;7190018;441653;CENTRAL;San Antonio;San Antonio;Duplex Las Garzas;Viviendas Económicas;10;INDELPA S.R.L.;Culminado;;005/10;15/05/11;06/08/12;;;;;;;;;;;;
21J;7195633;439804;CENTRAL;Lambare;Lambaré;Duplex Lambare;Viviendas Económicas;30;CALDETEC INGENIERIA S.R.L.;Culminado;;014/11;;;;;;;;;;;;;;
21J;7215046;446586;CENTRAL;Mariano Roque Alonso;Mariano Roque Alonso;Duplex M.R. Alonso;Viviendas Económicas;30;ING. ENRIQUE PARISI;En Ejecución;;014/11;02/02/12;;;;;;;;;;;;;
21J;7188880;445921;CENTRAL;Ñemby;Ñemby;Duplex Ñemby;Viviendas Económicas;30;CONSTRUCTORA PEREIRA THALMANN;Paralizado;;014/11;;;;;;;;;;;;;;
21J;7194553;454590;CENTRAL;Capiata;Capiatá;Duplex Capiatá;Viviendas Económicas;30;ABBATE & ASOCIADOS CONSTRUCTORA;Culminado;;014/11;;;;;;;;;;;;;;
21 J;7203934;450581;CENTRAL;Luque;Luque;Edificio de Departamentos Luque;Viviendas Económicas;14;TRAZO S.R.L.;Rescindido;;002/10;12/11/10;;;;;;;;;;;;;
21 J;7196815;458776;CENTRAL;Aregua;Areguá;Aregua Pindolo;Viviendas Económicas;64;HUGO A. SANABRIA L.---;Culminado;;005/09;;;;;;;;;;;;;;
21j;7190309;443248;CENTRAL;San Antonio;San Antonio;Villa Adelaida - San Antonio;Vya Renda;12;MARRAING;Rescindido;;007/11;;;;;;;;;;;;;;
21 J;7185298;454887;CENTRAL;J. Augusto Saldivar;J. Augusto Saldivar;Posta Leiva;Vya Renda;8;ING. ENRIQUE PARISI;Culminado;;003/10;;01/11/12;;;;;;;;;;;;
21J;7200123;457580;CENTRAL;Aregua;Aregua;Villa Amparo y San Salvador;Vya Renda;20;CONSTRUCCIONES REBECA;Culminado;;1018/11;;12/10/12;;;;;;;;;;;;
21J;7217945;451233;CENTRAL;Limpio;Limpio;Limpio;Vya Renda;60;CONSTRUCCIONES T AI;En Ejecución;;013/11;;;;;;;;;;;;;;
21 J;7200085;459013;CENTRAL;Aregua;;Renacer -  Costa Fleitas - Areguá;Vya Renda;90;INGENIERIA  APLICADA S.A.;Paralizado;;020/11;;;;;;;;;;;;;;
21J;7193175;443649;CENTRAL;Ñemby;Ñemby;Villa Helena - Ñemby;Vya Renda;28;INGENIERO CARLOS UGHELLI;Paralizado;;020/11;;;;;;;;;;;;;;
21 J;7196940;458925;CENTRAL;Aregua;Areguá;Aregua Pindolo;Viviendas Económicas;47;Ing. Gustavo Frutos;Culminado;;005/09;27/06/10;;;;;;;;;;;;;
;;;CENTRAL;Mariano Roque Alonso;;Expo Ciudad;FONAVIS;10;IPP INGENIERIA Y PROYECTOS PARAGUAY;Culminado;;;;;4;;;;;;;;;;;
;;;CENTRAL;Capiata;;Paso de Oro;FONAVIS;10;CESARINA BARRETO DE ENCISO;En Ejecución;;;;;4;;;;;;;;;;;
;;;CENTRAL;San Antonio;San Antonio;San Rafael II;FONAVIS;36;EMPRENDIMIENTOS INMOBILIARIOS;Paralizado;;;;;4;;;;;;;;;;;
21 j;;;CENTRAL;J. Augusto Saldivar;J.A.Saldivar;Cooperativa 8 de marzo;FONAVIS;20;C CONSULTORES;Culminado;;;;;2,3;;;;;;;;;;;
21 J;7197065;459043;CENTRAL;Aregua;Areguá;Aregua Pindolo;Viviendas Económicas;49;M&T S.A.;Culminado;;005/09;;22/12/10;;;;;;;;;;;;
21J;7215115;446608;CENTRAL;Mariano Roque Alonso;Mariano Roque Alonso;M.R. Alonso;Viviendas Económicas;60;CONSTRUCTORA TECNICA PARAGUAYA S.R.L. - COTEP S.R.L.;Paralizado;;019/11;09/07/12;;;;;;;;;;;;;
21J;7209548;452066;CENTRAL;Luque;Luque;Mora Cue - Luque;Viviendas Económicas;60;CONSORCIO ARQ. CELSO MORENO-ING. FERNANDO MORENO;Paralizado;;019/11;27/06/13;;;;;;;;;;;;;
21J;7220793;450817;CENTRAL;Limpio;Limpio;Rincón del Peñón;Viviendas Económicas;60;CONSORCIO PC;Paralizado;;019/11;26/07/12;;;;;;;;;;;;;
21 J;7190839;443106;CENTRAL;San Antonio;San Antonio;Andrea Flor;Vya Renda;20;CONSTRUCCIONES T AI;En Ejecución;;002/12;;;;;;;;;;;;;;
21 J;7198071;456325;CENTRAL;Capiata;Capiatá;Sueño y Esperanza-Capiata;Vya Renda;20;J.N. COMERCIAL E INDUSTRIA;Paralizado;;004/12;30/01/13;;;;;;;;;;;;;
21 J;7220936;452456;CENTRAL;Limpio;Limpio;Nueva Esperanza-Limpio;Vya Renda;148;MMSA EMPRESA CONSTRUCTORA.---;Culminado;;012/12;13/12/12;;;;;;;;;;;;;
21 J;;;CENTRAL;Limpio;Limpio;Bloque 2-Limpio;Viviendas Económicas;8;MULTIOBRA S.R.L.;En Ejecución;;017/12;;;;;;;;;;;;;;
21 J;7203934;450581;CENTRAL;Luque;Luque;Edificio Luque-Terminación;Viviendas Económicas;14;ING. JULIO ANTONIO GALIANO MORAN;Paralizado;;013/12;;;;;;;;;;;;;;
21 J;;;CENTRAL;Limpio;Limpio;Bloque 1 -Limpio;Viviendas Económicas;8;HUGO A. SANABRIA L.---;Paralizado;;014/12;;;;;;;;;;;;;;
21 J;7197877;456353;CENTRAL;Capiata;Capiatá;Sueños y Esperanza - Capiata;Vya Renda;25;ALONSO SCHAERER JOSE LUIS;Culminado;;011/12;22/04/13;;;;;;;;;;;;;
21 J;7192231;442752;CENTRAL;Ñemby;Ñemby;Jeroviaha;Vya Renda;18;CONSTRUCTORA PEREIRA THALMANN;En Ejecución;;002/12;17/09/12;;;;;;;;;;;;;
21 J;7191903;442884;CENTRAL;Ñemby;;Maria Auxiliadora;Vya Renda;6;CONSTRUCTORA PEREIRA THALMANN;Paralizado;;002/12;;;;;;;;;;;;;;
21 J;7213784;446775;CENTRAL;Mariano Roque Alonso;Mariano Roque Alonso;Comunidad Maká - MR Alonso;Pueblos Originarios;65;MARGEN CONSTRUCTORA S.A.;Paralizado;;015/12;;;;;;;;;;;;;;
21 J;463148;463148;CENTRAL;Ita;Itá;Ita Carapegua;Viviendas Económicas;43;MM S.A.;Culminado;;005/09;;22/12/10;;;;;;;;;;;;
21 J;452153;7212156;CENTRAL;Limpio;;La Hermosa - limpio;Vya Renda;12;CONSTRUCTORA DIVINO NIÑO JESUS;Paralizado;;004/12;26/07/12;;;;;;;;;;;;;
21 J;7183420;462791;CENTRAL;Ita;Itá;Ita Carapegua;Viviendas Económicas;44;M&T S.A.;Culminado;;005/09;;22/12/10;;;;;;;;;;;;
21 J;7191615;456190;CENTRAL;Capiata;Capiatá;Tierra prometida - Capiatá;Vya Renda;80;ARQ. RAMON A. GAONA;Paralizado;;024/12;24/12/13;;;;;;;;;;;;;
21 J;7183426;462212;CENTRAL;Ita;Itá;Ita Carapegua;Viviendas Económicas;46;Ing. Gustavo Frutos;Culminado;;005/09;;02/12/10;;;;;;;;;;;;
21 J;7210839;451566;CENTRAL;Luque;Luque;Coop. Coosofan;FONCOOP;30;Cooperates;Culminado;;;;;;;;;;;;;;;;
21 J;7190829;456240;CENTRAL;Capiata;Capiatá;Coop. Ña pua hagua  - Capiatá;FONCOOP;38;Area;Culminado;;;;;;;;;;;;;;;;
21 J;7183986;448622;CENTRAL;Ypane;Ypane;Coop. Mi Casita;FONCOOP;40;Camilo Recalde;Culminado;;;;;;;;;;;;;;;;
21 J;7207065;449652;CENTRAL;Luque;Luque;CoopexSanjo;FONCOOP;20;Cotas;Culminado;;;;;;;;;;;;;;;;
21 J;7214283;446372;CENTRAL;Mariano Roque Alonso;Mariano Roque Alonso;Coop. Santa Barbara;FONCOOP;15;Cotas;Culminado;;;;;;;;;;;;;;;;
21 J;;;CENTRAL;J. Augusto Saldivar;;Coop. 8 de Marzo;FONCOOP;40;JL Constructora;Culminado;;;;;;;;;;;;;;;;
21 J;;;CENTRAL;Limpio;Limpio;Coopvidi;FONCOOP;24;Hilse Coronel;Culminado;;;;;;;;;;;;;;;;
21 J;7183403;463117;CENTRAL;Ita;Itá;Ita Carapegua;Viviendas Económicas;0;INDELPA;Culminado;;009/09;;20/09/10;;;;;;;;;;;;
21 J;7196812;458768;CENTRAL;Aregua;Areguá;Aregua Pindolo;Viviendas Económicas;0;M&O S.A.;Culminado;;005/09;;27/01/11;;;;;;;;;;;;
21 J;7189065;444419;CENTRAL;San Antonio;;Ita Poty;FONAVIS;41;CESARINA BARRETO DE ENCISO;En Ejecución;;;07/02/14;;4;;;;;;;;;;;
21 J;7216249;452847;CENTRAL;Limpio;;Coop. Tava Rory Ltda. (Covitava) I;FONCOOP;40;COTAS;Culminado;;;;;;;;;;;;;;;;
21 J;;;CENTRAL;J. Augusto Saldivar;;Coop. Toledo Cañada;FONCOOP;40;JL Consultora;Culminado;;;;;;;;;;;;;;;;
21 J;;;CENTRAL;Ñemby;;Accion Comunitaria;FONAVIS;8;IPP INGENIERIA Y PROYECTOS PARAGUAY;Culminado;;;;;4;;;;;;;;;;;
21 J;7197983;451833;CENTRAL;San Lorenzo;San Lorenzo;San Ramón I;FONAVIS;8;IPP INGENIERIA Y PROYECTOS PARAGUAY;Culminado;;;;;4;;;;;;;;;;;
21 J;;;CENTRAL;San Lorenzo;;Calle 'i;FONAVIS;4;IPP INGENIERIA Y PROYECTOS PARAGUAY;En Ejecución;;;;;4;;;;;;;;;;;
;;;CENTRAL;San Lorenzo;San Lorenzo;San Ramón II;FONAVIS;8;IPP INGENIERIA Y PROYECTOS PARAGUAY;Culminado;;;;;4;;;;;;;;;;;
21 J;7193058;449706;CENTRAL;San Lorenzo;;Ayelen Milagros;FONAVIS;98;CONSORCIO KRIMEA;Paralizado;;;;;4;;;;;;;;;;;
21 J;;;CENTRAL;Villa Elisa;Villa Elisa;18 de Agosto;FONAVIS;10;ARQ. ELVA EUSTAQUIA FIGUEREDO MONTIEL;Culminado;;;;;4;;;;;;;;;;;
;;;CENTRAL;Mariano Roque Alonso;;La Amistad;FONAVIS;10;C CONSULTORES;Culminado;;;22/11/10;;4;;;;;;;;;;;
21 J;;;CENTRAL;Villeta;Villeta;Juan Pablo;FONAVIS;13;C CONSULTORES;Culminado;;;;;4;;;;;;;;;;;
21 J;;;CENTRAL;Villa Elisa;;Acosta Ñú;FONAVIS;8;C CONSULTORES;Culminado;;;;;4;;;;;;;;;;;
;;;CENTRAL;Ñemby;Ñemby;San Miguel;FONAVIS;10;C CONSULTORES;En Ejecución;;;;;4;;;;;;;;;;;
;;;CENTRAL;San Lorenzo;;Cooperativa Laurelty;FONAVIS;8;IPP INGENIERIA Y PROYECTOS PARAGUAY;Paralizado;;;;;4;;;;;;;;;;;
21 J;;;CENTRAL;Luque;Luque;Villa San Francisco GHA;FONAVIS;17;MERCEDES GERALDINE GONZALEZ ALFONSO;En Ejecución;;;;;3,4;;;;;;;;;;;
21 J;;;CENTRAL;Luque;;Hogar de Niños;FONAVIS;20;ARQ. DANIELA RECALDE RUIZ DIAZ;En Ejecución;;;;;3,4;;;;;;;;;;;
21 J;;;CENTRAL;Fernando de la Mora;;3 de Febrero;FONAVIS;9;C CONSULTORES;Culminado;;;;;4;;;;;;;;;;;
21 J;7193162;449394;CENTRAL;San Lorenzo;San Lorenzo;Los Gansos - Fenhamera;FONAVIS;10;ARQ. CARLOS CESAR RIVAS MUÑOZ;Paralizado;;;;;4;;;;;;;;;;;
21 J;;;CENTRAL;San Antonio;San Antonio;Asentamiento Santa Librada II;FONAVIS;10;EMPRENDIMIENTOS INMOBILIARIOS;Culminado;;;;;4;;;;;;;;;;;
21 J;;;CENTRAL;Ypane;Ypane;María Auxiliadora;FONAVIS;20;ASOCIACION TEKOVERA;Culminado;;;;;4;;;;;;;;;;;
21 J;;;CENTRAL;Ita;Itá;Cooperativa Jhugua Ñaró;FONAVIS;20;ARQUIDEC S.R.L;Culminado;;;04/03/13;;4;;;;;;;;;;;
21 J;;;CENTRAL;Ita;;G.O.Com.Fom.Viv.y Hab. Curupicaity 1°Fase;FONAVIS;15;ARQUIDEC S.R.L;En Ejecución;;;;;4;;;;;;;;;;;
21 J;;;CENTRAL;Ita;;Caaguazú;FONAVIS;20;ARQUIDEC S.R.L;En Ejecución;;;15/04/13;;4;;;;;;;;;;;
21 J;;;CENTRAL;Villa Elisa;;Acosta Ñú 2° Fase;FONAVIS;5;C CONSULTORES;En Ejecución;;;;;4;;;;;;;;;;;
21 J;;;CENTRAL;Ñemby;Ñemby;San Miguel 2° Fase;FONAVIS;12;C CONSULTORES;En Ejecución;;;;;4;;;;;;;;;;;
21 J;;;CENTRAL;San Antonio;;Andrea Flor;FONAVIS;24;ING. CESAR AUGUSTO RECALDE PRINCIGALLI;En Ejecución;;;;;4;;;;;;;;;;;
21 J;;;CENTRAL;Ñemby;;Paz del Chaco;FONAVIS;12;CEDES / HABITAT;Culminado;;;;;4;;;;;;;;;;;
21 J;;;CENTRAL;Ypane;;Maria Auxiliadora 2° Fase;FONAVIS;29;ASOCIACION TEKOVERA;Culminado;;;;;4;;;;;;;;;;;
21 J;;;CENTRAL;J. Augusto Saldivar;J.A.Saldivar;Sindicato Trabajadores del Mercado 4;FONAVIS;38;ARQ. LILIANA ROJAS VERA;En Ejecución;;;06/01/14;;4;;;;;;;;;;;
